Id , Brand , Title, Type_THC , Price, Amount, Image Link 
34,Aurum Farms,White Tahoe Cookies,$16 - $189,Hybrid,(1g - 14g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FWhite+Tahoe+Cookies.jpg-c91ecc45-6b91-4afb-90e7-eecef522ed7?tr=w-320
35,Ayra,CBD Molten Core 3:2,$10 - $260,High CBD,(1g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FMolten+Core+Lid.png-e509512-b441-4a5b-96af-fc82224db89?tr=w-320
36,Ayra,Dark Plasma,$10 - $35,Indica Hybrid,(1g - 3.50g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FDark+Plasma+Lid.png-8cfefd15-596c-4fe6-ba13-114125ba984?tr=w-320
37,Ayra,Gas N' Fruit,$10 - $260,Hybrid,(1g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FGas-N-Fruit+Lid.png-3f7ab7ed-55b2-4e4d-9c8a-39d26538e344?tr=w-320
38,Ayra,Gas-N-Fruit Trim,$40,Hybrid,(14g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FGas-N-Fruit+Lid.png-1a48df99-bb12-4bce-a624-a1ad9517893?tr=w-320
39,Ayra,Pink Lemonade,$10 - $260,Indica Hybrid,(1g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FPink+Lemonade+Lid.png-6f16468d-4e9e-4a65-b65f-2f5b65518c6?tr=w-320
40,Ayra,Pink Lemonade Trim,$40,Hybrid,(14g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FPink+Lemonade+Lid.png-b520cbed-da45-48b3-b790-ecf1f961bbe?tr=w-320
41,Ayra,Pink Pineapple Express,$10 - $260,Hybrid,(1g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FPink+Pineapple+Lid.png-a89d19c-2ed2-4bf5-bb1a-a7d27f74bf61?tr=w-320
42,Ayra,Pink Pineapple Express Trim,$40,Sativa Hybrid,(14g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FPink+Pineapple+Lid.png-a89d19c-2ed2-4bf5-bb1a-a7d27f74bf61?tr=w-320
43,Ayra,True Purple Berry,$70,Indica,(7g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FTrue+Purple+Berry+Lid.png-9421ba-d5d1-48dd-94c2-955cc971d8ff?tr=w-320
44,Ayra,True Purple Berry,$10 - $260,Hybrid,(1g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FARA+True+PURPLE+Berry.jpg-2a59d8e4-9f71-4d3d-87f3-db7e5c8e6d47?tr=w-320
45,Ayra,True Purple Berry Trim,$40,Indica,(14g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FTrue+Purple+Berry+Lid.png-9421ba-d5d1-48dd-94c2-955cc971d8ff?tr=w-320
46,Ayra,Wicked Bubblegum Trim,$40,Hybrid,(14g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2Farya_Wicked%2BBubblegum%2BLid.jpg-d2ece42d-f646-497e-83a0-869d1bbabbe9?tr=w-320
47,Cascade Crest,CBD Golden Sunrise,$120,High CBD,(28g),https://ik.imagekit.io/qxmwvn2y0qb/Cascade+Crest+WA+Flower+bag.jpg?tr=w-500
48,Cascade Crest,Cheese XXL,$15,Sativa Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/Cascade+Crest+WA+Flower+bag.jpg?tr=w-500
49,Cascade Crest,Wavy Blue,$15,Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/Cascade+Crest+WA+Flower+bag.jpg?tr=w-500
50,Cheef,Alien OG,$30,Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FGeneric+Flower.jpg-eb4981fa-baac-4f4-ae7d-1aaf5898836c?tr=w-500
51,Cheef,Gorilla Glue,$30,Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FGeneric+Flower.jpg-eb4981fa-baac-4f4-ae7d-1aaf5898836c?tr=w-500
52,Cheef,Vanilla Frosting,$30,Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FGeneric+Flower.jpg-eb4981fa-baac-4f4-ae7d-1aaf5898836c?tr=w-500
53,Dawg Star,Orangeade,$12 - $80,Sativa Hybrid,(1g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/Dawg%20Star%20Sativa%20Flower.jpg?tr=w-320
54,Dawg Star,Stacy's Mom,$12 - $80,Indica Hybrid,(1g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/Dawg%20Star%20Indica%20Indoor%20Flower.jpg?tr=w-771.3333333333334,h-385.6666666666667
55,EXO,Kimbo Kush,$10 - $30,Indica,(1g - 3.50g),https://ik.imagekit.io/qxmwvn2y0qb/EXO%20Flower%20Jar.jpg?tr=w-320
56,EXO,L.A. Cookies,$10 - $55,Hybrid,(1g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/EXO%20Flower%20Jar.jpg?tr=w-320
57,EXO,White Wedding,$10 - $55,Hybrid,(1g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FEXO.jpg-a3b14d49-dea3-4fb6-bd5e-81aa11ae31a?tr=w-320
